state_id,persona,n_masked,n_disclosed,disclosure_rate,n_clarify_turns,n_answered_clarifies,pass1,pass5
BigCodeBench/427,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/427,Experienced-Engineer,4,4,1.0,6,1,0,0
BigCodeBench/516,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/516,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/516,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/556,Novice-Learner,2,2,1.0,6,3,1,1
BigCodeBench/556,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/556,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/172,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/172,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/172,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/510,Novice-Learner,2,2,1.0,6,3,0,1
BigCodeBench/510,Busy-Developer,2,0,0.0,0,0,0,1
BigCodeBench/510,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/1085,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/1085,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/1085,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/783,Novice-Learner,2,2,1.0,6,3,1,1
BigCodeBench/783,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/783,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/432,Novice-Learner,4,4,1.0,6,5,1,1
BigCodeBench/432,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/432,Experienced-Engineer,4,4,1.0,1,1,1,1
BigCodeBench/1129,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/1129,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/1129,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/536,Novice-Learner,2,2,1.0,6,2,1,1
BigCodeBench/536,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/536,Experienced-Engineer,2,2,1.0,4,1,1,1
BigCodeBench/127,Novice-Learner,3,3,1.0,6,6,0,0
BigCodeBench/127,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/127,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/704,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/704,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/704,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/1114,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/1114,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/1114,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/866,Novice-Learner,2,0,0.0,6,0,1,1
BigCodeBench/866,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/866,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/835,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/835,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/835,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/1066,Novice-Learner,5,4,0.8,6,4,0,0
BigCodeBench/1066,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/1066,Experienced-Engineer,5,4,0.8,1,1,0,0
BigCodeBench/1015,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/1015,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/1015,Experienced-Engineer,4,3,0.75,1,1,0,0
BigCodeBench/1069,Novice-Learner,2,2,1.0,6,4,0,1
BigCodeBench/1069,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/1069,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/592,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/592,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/592,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/925,Novice-Learner,2,2,1.0,6,4,1,1
BigCodeBench/925,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/925,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/161,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/161,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/161,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/883,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/883,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/883,Experienced-Engineer,2,0,0.0,0,0,0,0
BigCodeBench/289,Novice-Learner,3,2,0.6666666666666666,6,2,0,0
BigCodeBench/289,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/289,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/200,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/200,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/200,Experienced-Engineer,3,3,1.0,2,1,0,0
BigCodeBench/212,Novice-Learner,3,2,0.6666666666666666,6,2,1,1
BigCodeBench/212,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/212,Experienced-Engineer,3,3,1.0,2,1,1,1
BigCodeBench/420,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/420,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/420,Experienced-Engineer,2,2,1.0,3,1,0,0
BigCodeBench/763,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/763,Busy-Developer,2,0,0.0,0,0,0,1
BigCodeBench/763,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/646,Novice-Learner,2,2,1.0,6,5,0,0
BigCodeBench/646,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/646,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/784,Novice-Learner,3,3,1.0,6,4,1,1
BigCodeBench/784,Busy-Developer,3,0,0.0,0,0,1,1
BigCodeBench/784,Experienced-Engineer,3,0,0.0,0,0,1,1
BigCodeBench/458,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/458,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/458,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/1087,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/1087,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/1087,Experienced-Engineer,4,4,1.0,1,1,1,1
BigCodeBench/756,Novice-Learner,3,1,0.3333333333333333,6,1,0,0
BigCodeBench/756,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/756,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/886,Novice-Learner,5,3,0.6,6,3,0,0
BigCodeBench/886,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/886,Experienced-Engineer,5,4,0.8,3,1,0,0
BigCodeBench/513,Novice-Learner,5,4,0.8,6,4,0,0
BigCodeBench/513,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/513,Experienced-Engineer,5,0,0.0,2,0,0,0
BigCodeBench/302,Novice-Learner,5,4,0.8,6,4,0,0
BigCodeBench/302,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/302,Experienced-Engineer,5,3,0.6,1,1,0,0
BigCodeBench/857,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/857,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/857,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/1105,Novice-Learner,3,3,1.0,6,3,0,0
BigCodeBench/1105,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/1105,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/651,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/651,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/651,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/603,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/603,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/603,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/518,Novice-Learner,3,3,1.0,6,5,0,0
BigCodeBench/518,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/518,Experienced-Engineer,3,3,1.0,2,1,0,0
BigCodeBench/758,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/758,Busy-Developer,3,0,0.0,0,0,0,1
BigCodeBench/758,Experienced-Engineer,3,0,0.0,0,0,0,0
BigCodeBench/406,Novice-Learner,4,3,0.75,6,3,1,1
BigCodeBench/406,Busy-Developer,4,0,0.0,0,0,1,1
BigCodeBench/406,Experienced-Engineer,4,0,0.0,2,0,1,1
BigCodeBench/944,Novice-Learner,1,1,1.0,6,1,0,0
BigCodeBench/944,Busy-Developer,1,0,0.0,0,0,0,0
BigCodeBench/944,Experienced-Engineer,1,1,1.0,1,1,0,0
BigCodeBench/659,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/659,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/659,Experienced-Engineer,2,2,1.0,2,1,0,1
BigCodeBench/893,Novice-Learner,3,2,0.6666666666666666,6,2,0,0
BigCodeBench/893,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/893,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/517,Novice-Learner,3,2,0.6666666666666666,6,2,0,0
BigCodeBench/517,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/517,Experienced-Engineer,3,3,1.0,1,1,0,1
BigCodeBench/227,Novice-Learner,5,2,0.4,6,2,0,0
BigCodeBench/227,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/227,Experienced-Engineer,5,0,0.0,1,0,0,0
BigCodeBench/613,Novice-Learner,2,2,1.0,6,5,0,0
BigCodeBench/613,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/613,Experienced-Engineer,2,2,1.0,3,1,0,0
BigCodeBench/508,Novice-Learner,3,3,1.0,6,4,1,1
BigCodeBench/508,Busy-Developer,3,0,0.0,0,0,0,1
BigCodeBench/508,Experienced-Engineer,3,3,1.0,2,1,1,1
BigCodeBench/409,Novice-Learner,3,1,0.3333333333333333,6,1,0,0
BigCodeBench/409,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/409,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/812,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/812,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/812,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/129,Novice-Learner,4,2,0.5,6,2,0,0
BigCodeBench/129,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/129,Experienced-Engineer,4,2,0.5,1,1,0,0
BigCodeBench/945,Novice-Learner,1,1,1.0,6,4,0,0
BigCodeBench/945,Busy-Developer,1,0,0.0,0,0,0,0
BigCodeBench/945,Experienced-Engineer,1,1,1.0,5,1,0,0
BigCodeBench/214,Novice-Learner,4,4,1.0,6,5,0,0
BigCodeBench/214,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/214,Experienced-Engineer,4,3,0.75,1,1,0,0
BigCodeBench/392,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/392,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/392,Experienced-Engineer,4,0,0.0,6,0,0,0
BigCodeBench/665,Novice-Learner,2,2,1.0,6,2,1,1
BigCodeBench/665,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/665,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/684,Novice-Learner,2,2,1.0,6,2,1,1
BigCodeBench/684,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/684,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/469,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/469,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/469,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/733,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/733,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/733,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/782,Novice-Learner,2,2,1.0,6,6,1,1
BigCodeBench/782,Busy-Developer,2,0,0.0,0,0,0,1
BigCodeBench/782,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/926,Novice-Learner,2,2,1.0,6,3,1,1
BigCodeBench/926,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/926,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/162,Novice-Learner,3,3,1.0,6,4,1,1
BigCodeBench/162,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/162,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,1
BigCodeBench/476,Novice-Learner,3,3,1.0,6,6,0,0
BigCodeBench/476,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/476,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/899,Novice-Learner,3,3,1.0,6,3,0,0
BigCodeBench/899,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/899,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/290,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/290,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/290,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/1027,Novice-Learner,2,2,1.0,6,4,1,1
BigCodeBench/1027,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/1027,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/807,Novice-Learner,4,4,1.0,6,4,1,1
BigCodeBench/807,Busy-Developer,4,0,0.0,0,0,1,1
BigCodeBench/807,Experienced-Engineer,4,4,1.0,1,1,1,1
BigCodeBench/710,Novice-Learner,2,2,1.0,6,2,0,1
BigCodeBench/710,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/710,Experienced-Engineer,2,2,1.0,3,1,0,1
BigCodeBench/196,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/196,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/196,Experienced-Engineer,3,2,0.6666666666666666,2,1,0,0
BigCodeBench/761,Novice-Learner,3,3,1.0,6,5,0,0
BigCodeBench/761,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/761,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/826,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/826,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/826,Experienced-Engineer,2,0,0.0,6,0,0,0
BigCodeBench/901,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/901,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/901,Experienced-Engineer,2,0,0.0,0,0,0,1
BigCodeBench/501,Novice-Learner,3,3,1.0,6,5,0,0
BigCodeBench/501,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/501,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/898,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/898,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/898,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/445,Novice-Learner,5,4,0.8,6,4,0,0
BigCodeBench/445,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/445,Experienced-Engineer,5,5,1.0,2,2,0,0
BigCodeBench/309,Novice-Learner,2,2,1.0,6,5,0,1
BigCodeBench/309,Busy-Developer,2,0,0.0,0,0,0,1
BigCodeBench/309,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/559,Novice-Learner,4,2,0.5,6,2,0,0
BigCodeBench/559,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/559,Experienced-Engineer,4,4,1.0,2,1,0,0
BigCodeBench/237,Novice-Learner,4,4,1.0,6,4,0,0
BigCodeBench/237,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/237,Experienced-Engineer,4,3,0.75,1,1,0,0
BigCodeBench/276,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/276,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/276,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/964,Novice-Learner,4,4,1.0,6,4,0,0
BigCodeBench/964,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/964,Experienced-Engineer,4,4,1.0,1,1,0,0
BigCodeBench/1029,Novice-Learner,2,2,1.0,6,3,0,1
BigCodeBench/1029,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/1029,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/433,Novice-Learner,2,2,1.0,6,4,1,1
BigCodeBench/433,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/433,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/995,Novice-Learner,6,3,0.5,6,3,0,0
BigCodeBench/995,Busy-Developer,6,0,0.0,0,0,0,0
BigCodeBench/995,Experienced-Engineer,6,5,0.8333333333333334,1,1,0,0
BigCodeBench/470,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/470,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/470,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/963,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/963,Busy-Developer,4,0,0.0,0,0,0,0
